Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
154,57-V625,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
155,58-V700,145.700000,-,0.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
156,58-V775,145.775000,-,0.600000,Tone,127.3,127.3,023,NN,NFM,5.00,,,,,,
157,58-U175,439.175000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
158,58-U400,439.400000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
159,59-V600,145.600000,-,0.600000,Tone,77.0,77.0,023,NN,NFM,5.00,,,,,,
160,59-U375,439.375000,-,7.600000,TSQL,74.4,74.4,023,NN,NFM,5.00,,,,,,
161,59-U425,439.425000,-,7.600000,TSQL,77.0,77.0,023,NN,NFM,5.00,,,,,,
162,60-V750,145.750000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
163,60-V775,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
164,60-U225,439.225000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
165,60-U375,439.375000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
166,61-V625,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
167,61-V650,145.650000,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
168,61-V775,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
169,61-U200,439.200000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
170,64-V675,145.675000,-,0.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
171,64-V750,145.750000,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
172,64-U150,439.150000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
173,66-V725,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
174,67-V600,145.600000,-,0.600000,Cross,88.5,88.5,023,NN,NFM,5.00,,,,,,
175,67-V625,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
176,67-V700,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
